Name,Category,Reviews,Address
지장수본가전주콩나물국밥 2호점,국밥,리뷰 418,경기 수원시 장안구 서부로2123번길 29
라홍방마라탕 수원천천점,마라탕,리뷰 999+,경기 수원시 장안구 만석로5번길 6 1층 102호
십인치,양식,리뷰 10,경기 수원시 장안구 화산로233번길 56 2층
가장맛있는족발 수원율전점,"족발,보쌈",리뷰 220,경기 수원시 장안구 율전로98번길 7 1층 가장맛있는족발 수원율전점
항아리보쌈 성대점,"족발,보쌈",리뷰 230,경기 수원시 장안구 화산로233번길 64
맘스터치 수원성균관대점,햄버거,리뷰 999+,경기 수원시 장안구 서부로 2128
아마스빈 수원성균관대점,카페,리뷰 665,경기 수원시 장안구 서부로 2130
닥치고 삼겹살,돼지고기구이,리뷰 14,경기 수원시 장안구 덕영대로445번길 12-8 1층 닥치고 삼겹살
소문난김밥,김밥,리뷰 265,경기 수원시 장안구 율전로 110 하나문구
삼구포차 수원성대점,포장마차,리뷰 56,경기 수원시 장안구 화산로233번길 52
부자국밥,국밥,리뷰 213,경기 수원시 장안구 화산로233번길 46 부자국밥
썬더치킨 수원성균관대점,"치킨,닭강정",리뷰 202,경기 수원시 장안구 율전로 102-5
하노이맥주밤거리 수원성대점,요리주점,리뷰 174,경기 수원시 장안구 율전로108번길 20 1층
동자설렁탕,"곰탕,설렁탕",리뷰 124,경기 수원시 장안구 화산로213번길 23
청진동해장국 율전성대점,해장국,리뷰 388,경기 수원시 장안구 서부로2123번길 17 우신빌딩
롯데리아 수원성대,햄버거,리뷰 999+,경기 수원시 장안구 서부로 2119 농협
금별맥주 성균관대역점,"맥주,호프",리뷰 40,경기 수원시 장안구 화산로233번길 59 1층
대성장,중식당,리뷰 341,경기 수원시 장안구 서부로2181번길 46-6
봉구스밥버거 성대2호점,분식,리뷰 261,경기 수원시 장안구 서부로2126번길 30
이자카야 슌,이자카야,리뷰 233,경기 수원시 장안구 서부로2105번길 26-5 1층
본죽&비빔밥cafe 수원천천점,죽,리뷰 999+,경기 수원시 장안구 만석로5번길 12-10 중앙프라자 1층
마라영웅 수원장안점,중식당,리뷰 879,경기 수원시 장안구 만석로5번길 12-10 2층 마라영웅 수원장안점
마이요거트립,"카페,디저트",리뷰 213,경기 수원시 장안구 화산로 235 104호 마이요거트립
오디디,카페,리뷰 77,경기 수원시 장안구 율전로108번길 10-1 1층
파리바게뜨 성균관대점,베이커리,리뷰 999+,경기 수원시 장안구 서부로 2135 (율전동 286-4)
피자헐 성대점,피자,리뷰 277,경기 수원시 장안구 율전로 105
도미노피자 율천점,피자,리뷰 625,경기 수원시 장안구 하률로 3 1층
태영생막창,"곱창,막창,양",리뷰 116,경기 수원시 장안구 율전로 95
인피펍,"맥주,호프",리뷰 178,경기 수원시 장안구 화산로233번길 35 2층 인피펍
스마일왕돈까스,돈가스,리뷰 215,경기 수원시 장안구 화산로259번길 37 103호
김엄마밥집 본점,한식,리뷰 329,경기 수원시 장안구 덕영대로425번길 34
싸가정곱창 & 담윤순대국 율전점,"곱창,막창,양",리뷰 317,경기 수원시 장안구 서부로2126번길 27 1층 101호
하루엔소쿠 수원성대점,돈가스,리뷰 300,경기 수원시 장안구 율전로98번길 6-6 1층
보드람치킨 성대역점,"치킨,닭강정",리뷰 501,경기 수원시 장안구 서부로2123번길 10
중경마라탕 성균관대3호점,중식당,리뷰 290,경기 수원시 장안구 서부로2106번길 10
마왕족발 성균관대점,"족발,보쌈",리뷰 330,경기 수원시 장안구 서부로2105번길 29
율전족발보쌈,"족발,보쌈",리뷰 129,경기 수원시 장안구 서부로2181번길 4 주상복합
더맛구이구이쪽갈비 성대점,"육류,고기요리",리뷰 105,경기 수원시 장안구 화산로233번길 41
구이육,"육류,고기요리",리뷰 31,경기 수원시 장안구 덕영대로445번길 34
노랑냄비와석쇠구이집,주꾸미요리,리뷰 276,경기 수원시 장안구 서부로2123번길 16 1층102호
피자마루 수원천천점,피자,리뷰 645,경기 수원시 장안구 만석로19번길 11-3 천천동 528-4 교육연구시설 (배진영)
한마리정육식당,한식,리뷰 84,경기 수원시 장안구 화산로233번길 52 1층
금달맥주,"맥주,호프",리뷰 156,경기 수원시 장안구 화산로213번길 31 2층
본도시락 수원성균관대점,"도시락,컵밥",리뷰 58,경기 수원시 장안구 서부로2126번길 30 삼전상가 나동9호
